Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,search_language
J,"Fyock, C",,,,"Fyock, Claiton",,,What Might Degrowth Mean for International Economic Law? A Necessary Alternative to the (un)Sustainable Development Paradigm,ASIAN JOURNAL OF INTERNATIONAL LAW,,,English,Article,,,,,,International Economic Law; Law of Development; Environmental Law,CORPORATE-SOCIAL-RESPONSIBILITY; SUSTAINABLE DEVELOPMENT; INVESTOR OBLIGATIONS; TAX HAVENS; TREATY; PERFORMANCE; PRINCIPLE; MARXISM; GROWTH; GOALS,"This article examines the implications for a change in framework from sustainable development to degrowth in the environmental and social discourse of International Economic Law (I.Econ.L.). It argues that the framework of sustainable development accommodates the Global North's inaction in assuaging environmental degradation and alleviating global inequality by remaining embedded in a capitalist, growth-oriented political economy. Degrowth would provide a strategy to move past such an impasse by encouraging actors to grapple with the role growth plays in the rationale behind I.Econ.L. Degrowth advocates a planned economic contraction to reconcile human's relationship with the environment. This project serves as the first effort to link ideas of degrowth with I.Econ.L. and seeks to identify some of the areas in I.Econ.L.'s scholarship where degrowth would serve as an alternative to sustainable development and what such an alternative would mean for the norms in the different areas of I.Econ.L.","[Fyock, Claiton] Univ Leicester, Law Sch, Leicester, Leics, England",RLUK- Research Libraries UK; University of Leicester,"Fyock, C (corresponding author), Univ Leicester, Law Sch, Leicester, Leics, England.",ctf6@leicester.ac.uk,,,,,,,,1,1,1,10,CAMBRIDGE UNIV PRESS,CAMBRIDGE,"EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND",,,,ASIAN J INT LAW,Asian J. Int. Law,JAN,2022,12,1,,,,,40,62,,10.1017/S2044251322000030,0,,MAR 2022,23,Law,,Government & Law,2F6PW,,"Green Accepted, hybrid",,,2023-06-02,WOS:000763936900001,0,en
J,"Karageorgou, E; Zervos, M; Othonos, A",,,,"Karageorgou, E.; Zervos, M.; Othonos, A.",,,Ultraviolet emission from low resistance Cu2SnS3/SnO2 and CuInS2/Sn:In2O3 nanowires,APL MATERIALS,,,English,Article,,,,,,,INDIUM TIN OXIDE; OPTICAL-PROPERTIES; STRUCTURAL-PROPERTIES; CUS; FABRICATION; HETEROJUNCTION; TRANSFORMATION; NANOCRYSTALS; EFFICIENT; SURFACE,"SnO2 and Sn:In2O3 nanowires were grown on Si(001), and p-n junctions were fabricated in contact with p-type Cu2S which exhibited rectifying current-voltage characteristics. Core-shell Cu2SnS3/SnO2 and CuInS2/Sn:In2O3 nanowires were obtained by depositing copper and post-growth processing under H2S between 100 and 500 degrees C. These consist mainly of tetragonal rutile SnO2 and cubic bixbyite In2O3. We observe photoluminescence at 3.65 eV corresponding to band edge emission from SnO2 quantum dots in the Cu2SnS3/SnO2 nanowires due to electrostatic confinement. The Cu2SnS3/SnO2 nanowires assemblies had resistances of 100 Omega similar to CuInS2/In2O3 nanowires which exhibited photoluminescence at 3.0 eV. (C) 2014 Author(s).","[Karageorgou, E.; Zervos, M.] Univ Cyprus, Sch Engn, Nanostruct Mat & Devices Lab, CY-1678 Nicosia, Cyprus; [Karageorgou, E.; Zervos, M.] Univ Cyprus, Dept Mech & Mfg Engn, CY-1678 Nicosia, Cyprus; [Othonos, A.] Univ Cyprus, Res Ctr Ultrafast Sci, Dept Phys, CY-1678 Nicosia, Cyprus",University of Cyprus; University of Cyprus; University of Cyprus,"Zervos, M (corresponding author), Univ Cyprus, Sch Engn, Nanostruct Mat & Devices Lab, POB 20537, CY-1678 Nicosia, Cyprus.",zervos@ucy.ac.cy,,,,,,,,6,6,0,36,AMER INST PHYSICS,MELVILLE,"1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA",,,,APL MATER,APL Mater.,NOV,2014,2,11,,,,,,,116107,10.1063/1.4901295,0,,,7,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied",,Science & Technology - Other Topics; Materials Science; Physics,AU5HZ,,gold,,,2023-06-02,WOS:000345638800026,0,en
J,"Cai, JD; Li, C; Kong, N; Lu, Y; Lin, GY; Wang, XY; Yao, Y; Manners, I; Qiu, HB",,,,"Cai, Jiandong; Li, Chen; Kong, Na; Lu, Yi; Lin, Geyu; Wang, Xinyan; Yao, Yuan; Manners, Ian; Qiu, Huibin",,,Tailored multifunctional micellar brushes via crystallization-driven growth from a surface,SCIENCE,,,English,Article,,,,,,,POWER CONVERSION EFFICIENCY; CONTROLLED LENGTH; BLOCK-COPOLYMERS; SOLAR-CELLS; NANOPARTICLES; SILVER; CORE; SIZE,"The creation of nanostructures with precise chemistries on material surfaces is of importance in a wide variety of areas such as lithography, superhydrophobicity, and cell adhesion. We describe a platform for surface functionalization that involves the fabrication of cylindrical micellar brushes on a silicon wafer through seeded growth of crystallizable block copolymers at the termini of immobilized, surface-confined crystallite seeds. The density, length, and coronal chemistry of the micellar brushes can be precisely tuned, and post-growth decoration with nanoparticles enables applications in catalysis and antibacterial surface modification. The micellar brushes can also be grown on ultrathin two-dimensional materials such as graphene oxide nanosheets and further assembled into a membrane for the separation of oil-in-water emulsions and gold nanoparticles.","[Cai, Jiandong; Kong, Na; Lu, Yi; Wang, Xinyan; Yao, Yuan; Qiu, Huibin] ShanghaiTech Univ, Sch Phys Sci & Technol, Shanghai 201210, Peoples R China; [Cai, Jiandong; Li, Chen; Lin, Geyu; Manners, Ian; Qiu, Huibin] Shanghai Jiao Tong Univ, Sch Chem & Chem Engn, Frontiers Sci Ctr Transformat Mol, State Key Lab Met Matrix Composites, Shanghai 200240, Peoples R China; [Cai, Jiandong] Chinese Acad Sci, Shanghai Inst Organ Chem, Shanghai 200032, Peoples R China; [Cai, Jiandong] Univ Chinese Acad Sci, Beijing 100049, Peoples R China; [Manners, Ian] Univ Bristol, Sch Chem, Bristol BS8 1TS, Avon, England; [Manners, Ian] Univ Victoria, Dept Chem, Victoria, BC V8P 5C2, Canada","ShanghaiTech University; Shanghai Jiao Tong University; Chinese Academy of Sciences; Shanghai Institute of Organic Chemistry, CAS; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS; University of Bristol; University of Victoria","Qiu, HB (corresponding author), ShanghaiTech Univ, Sch Phys Sci & Technol, Shanghai 201210, Peoples R China.;Manners, I; Qiu, HB (corresponding author), Shanghai Jiao Tong Univ, Sch Chem & Chem Engn, Frontiers Sci Ctr Transformat Mol, State Key Lab Met Matrix Composites, Shanghai 200240, Peoples R China.;Manners, I (corresponding author), Univ Bristol, Sch Chem, Bristol BS8 1TS, Avon, England.;Manners, I (corresponding author), Univ Victoria, Dept Chem, Victoria, BC V8P 5C2, Canada.",imanners@uvic.ca; hbqiu@sjtu.edu.cn,,,"National Natural Science Foundation of China [21674062, U1632117]; Science and Technology Commission of Shanghai Municipality [16ZR1422600, 17JC1400700, 18JC1415500]; Shanghai Education Development Foundation; Shanghai Municipal Education Commission [16SG54]",National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Science and Technology Commission of Shanghai Municipality(Science & Technology Commission of Shanghai Municipality (STCSM)); Shanghai Education Development Foundation; Shanghai Municipal Education Commission(Shanghai Municipal Education Commission (SHMEC)),"H.Q. thanks the National Natural Science Foundation of China (21674062, U1632117), the Science and Technology Commission of Shanghai Municipality (16ZR1422600, 17JC1400700, 18JC1415500), and the Shanghai Education Development Foundation and the Shanghai Municipal Education Commission (16SG54) for financial support. I.M. thanks the University of Bristol, the Canadian Government for a Canada 150 Research Chair, and the Chinese Government for a Thousand Talents Distinguished Visiting Professor position at Shanghai Jiao Tong University.",,,70,70,23,291,AMER ASSOC ADVANCEMENT SCIENCE,WASHINGTON,"1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA",,,,SCIENCE,Science,NOV 29,2019,366,6469,,,,,1095,+,,10.1126/science.aax9075,0,,,38,Multidisciplinary Sciences,,Science & Technology - Other Topics,JS0YA,31780551,Bronze,,,2023-06-02,WOS:000500039200035,0,en
J,"Yu, JY; Huang, K; Wu, HY; Feng, Y; Wang, L; Tang, Z; Zhang, L",,,,"Yu, J. Y.; Huang, K.; Wu, H. Y.; Feng, Y.; Wang, L.; Tang, Z.; Zhang, L.",,,Exchange bias and magnetic properties induced by intrinsic structural distortion in CaMn3O6 nanoribbons,APPLIED PHYSICS LETTERS,,,English,Article,,,,,,,,"Single-crystalline CaMn3O6 nanoribbons have been synthesized by a molten-salt method. To explore the origin of the magnetism of nanosized antiferromagnetic (AFM) manganites, a comparative study has been conducted for CaMn3O6 (CMO-1) and post-growth vacuum annealed (CMO-2) nanoribbons. A lattice expansion resulting from oxygen release during vacuum annealing is observed. Correspondingly, AFM ordering in CMO-2 is further suppressed, and ferromagnetism and spin-glass (SG)-like behavior are significantly enhanced, which are presumed attributable to the intrinsic structural distortions induced by oxygen vacancies. In this case, side and surface effects are not decisive factors. In addition, this study provided observations of the exchange bias effect in manganite nanoribbons with an AFM-SG-like-ferromagnetic (FM) structure, as compared with the typical AFM-core-FM-shell. (C) 2014 AIP Publishing LLC.","[Yu, J. Y.; Huang, K.; Wu, H. Y.; Feng, Y.; Tang, Z.; Zhang, L.] Anhui Jianzhu Univ, Dept Math & Phys, Hefei 230601, Peoples R China; [Wang, L.] Anhui Jianzhu Univ, Sch Environm & Energy Engn, Hefei 230601, Peoples R China",Anhui Jianzhu University; Anhui Jianzhu University,"Yu, JY (corresponding author), Anhui Jianzhu Univ, Dept Math & Phys, Hefei 230601, Peoples R China.",wuheyun@ahjzu.edu.cn,,,"Natural Science Foundation of China [21271007, 11104001]; Natural Science Foundation of Anhui Educational Committee [KJ2013B057]; Doctoral Science Foundation of Anhui Jianzhu University [K02648]",Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Natural Science Foundation of Anhui Educational Committee(Natural Science Foundation of Anhui Province); Doctoral Science Foundation of Anhui Jianzhu University,"This work was supported by the Natural Science Foundation of China Nos. 21271007 and 11104001, the Natural Science Foundation of Anhui Educational Committee No. KJ2013B057, and the Doctoral Science Foundation of Anhui Jianzhu University No. K02648.",,,6,6,0,56,AMER INST PHYSICS,MELVILLE,"1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA",,,,APPL PHYS LETT,Appl. Phys. Lett.,JAN 13,2014,104,2,,,,,,,22407,10.1063/1.4862203,0,,,4,"Physics, Applied",,Physics,299YG,,,,,2023-06-02,WOS:000330431000071,0,en
J,"Taffel, S",,,,"Taffel, Sy",,,"Data and oil: Metaphor, materiality and metabolic rifts",NEW MEDIA & SOCIETY,,,English,Article,,,,,,Advertising; bitcoin; data; data colonialism; data is the new oil; data mining; degrowth; extractivism; infrastructure; metabolic rift,TECHNOLOGY; DEGROWTH,"'Data is the new oil' is a phrase that is frequently employed to indicate that digital technologies and data extraction have supplanted fossil fuels and geological extractivism as the central driver of the global economy. While this metaphor has been subject to discursive and ideological critique within media, communication and cultural studies, this article conducts a materialist analysis of the connections between data and oil. While claims that data is the new oil typically assume digital technologies to be clean, renewable and sustainable, an infrastructural approach reveals the vast quantities of oil and other fossil fuels necessary for digital capitalism, therefore repudiating claims that data can grow exponentially with no material costs. Consequently, the article explores how metabolic rifts and degrowth offer productive frameworks for outlining the contours of a sustainable and equitable digital future.","[Taffel, Sy] Massey Univ, Polit Ecol Res Ctr, Aotearoa, New Zealand",Massey University,"Taffel, S (corresponding author), Massey Univ, Room 4-64,Sir Geoffrey Peren Bldg,Tiritea Rd, Palmerston North 4410, Manawatu, New Zealand.",s.a.taffel@massey.ac.nz,,,,,,,,8,8,6,19,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",,,,NEW MEDIA SOC,New Media Soc.,MAY,2023,25,5,,,,,980,998,14614448211017888,10.1177/14614448211017887,0,,JUN 2021,19,Communication,,Communication,F8OT8,,,,,2023-06-02,WOS:000658462000001,0,en
J,"Balagula, RM; Jansson, M; Yukimune, M; Stehr, JE; Ishikawa, F; Chen, WM; Buyanova, IA",,,,"Balagula, Roman M.; Jansson, Mattias; Yukimune, Mitsuki; Stehr, Jan E.; Ishikawa, Fumitaro; Chen, Weimin M.; Buyanova, Irina A.",,,Effects of thermal annealing on localization and strain in core/multishell GaAs/GaNAs/GaAs nanowires,SCIENTIFIC REPORTS,,,English,Article,,,,,,,IMPROVED LUMINESCENCE EFFICIENCY; ELECTRON EFFECTIVE-MASS; SOLAR-CELLS; NITROGEN; GROWTH; MECHANISM; EPITAXY; ORIGIN,"Core/shell nanowire (NW) heterostructures based on III-V semiconductors and related alloys are attractive for optoelectronic and photonic applications owing to the ability to modify their electronic structure via bandgap and strain engineering. Post-growth thermal annealing of such NWs is often involved during device fabrication and can also be used to improve their optical and transport properties. However, effects of such annealing on alloy disorder and strain in core/shell NWs are not fully understood. In this work we investigate these effects in novel core/shell/shell GaAs/GaNAs/GaAs NWs grown by molecular beam epitaxy on (111) Si substrates. By employing polarization-resolved photoluminescence measurements, we show that annealing (i) improves overall alloy uniformity due to suppressed long-range fluctuations in the N composition; (ii) reduces local strain within N clusters acting as quantum dot emitters; and (iii) leads to partial relaxation of the global strain caused by the lattice mismatch between GaNAs and GaAs. Our results, therefore, underline applicability of such treatment for improving optical quality of NWs from highly-mismatched alloys. They also call for caution when using ex-situ annealing in strain-engineered NW heterostructures.","[Balagula, Roman M.; Jansson, Mattias; Stehr, Jan E.; Chen, Weimin M.; Buyanova, Irina A.] Linkoping Univ, Dept Phys Chem & Biol, S-58183 Linkoping, Sweden; [Yukimune, Mitsuki; Ishikawa, Fumitaro] Ehime Univ, Grad Sch Sci & Engn, Matsuyama, Ehime 7908577, Japan",Linkoping University; Ehime University,"Jansson, M (corresponding author), Linkoping Univ, Dept Phys Chem & Biol, S-58183 Linkoping, Sweden.",mattias.jansson@liu.se,,,"Swedish Energy Agency [P40119-1]; Swedish Research Council [2015-05532]; Swedish Foundation for International Cooperation in Research and Higher Education (STINT) [JA2014-5698]; Swedish Government Strategic Research Area in Materials Science on Functional Materials at Linkoping University [2009 00971]; KAKENHI from the Japan Society for the Promotion of Science [16H05970, 23686004]; Kato Foundation for Promotion of Science; Kurata Memorial Hitachi Science and Technology Foundation; Murata Science Foundation; Linkoping University","Swedish Energy Agency(Swedish Energy Agency); Swedish Research Council(Swedish Research Council); Swedish Foundation for International Cooperation in Research and Higher Education (STINT); Swedish Government Strategic Research Area in Materials Science on Functional Materials at Linkoping University; KAKENHI from the Japan Society for the Promotion of Science(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)); Kato Foundation for Promotion of Science; Kurata Memorial Hitachi Science and Technology Foundation; Murata Science Foundation; Linkoping University","The authors would like to acknowledge the financial support from the Swedish Energy Agency (Grant No. P40119-1), the Swedish Research Council (Grant No. 2015-05532) and the Swedish Foundation for International Cooperation in Research and Higher Education (STINT) (Grant No. JA2014-5698). IB and WMC acknowledge financial support from the Swedish Government Strategic Research Area in Materials Science on Functional Materials at Linkoping University (Faculty Grant SFO-Mat-LiU No 2009 00971). The NW growth was partly supported by KAKENHI (No. 16H05970 and 23686004) from the Japan Society for the Promotion of Science, research scholarships from the Kato Foundation for Promotion of Science, the Kurata Memorial Hitachi Science and Technology Foundation, and the Murata Science Foundation. Open access funding provided by Linkoping University.",,,5,5,2,8,NATURE RESEARCH,BERLIN,"HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY",,,,SCI REP-UK,Sci Rep,MAY 19,2020,10,1,,,,,,,8216,10.1038/s41598-020-64958-6,0,,,9,Multidisciplinary Sciences,,Science & Technology - Other Topics,LY5KL,32427905,"Green Published, gold",,,2023-06-02,WOS:000540568100009,0,en
J,"Lebedev, AA; Ivanov, PA; Levinshtein, ME; Mokhov, EN; Nagalyuk, SS; Anisimov, AN; Baranov, PG",,,,"Lebedev, A. A.; Ivanov, P. A.; Levinshtein, M. E.; Mokhov, E. N.; Nagalyuk, S. S.; Anisimov, A. N.; Baranov, P. G.",,,SiC-based electronics (100th anniversary of the Ioffe Institute),PHYSICS-USPEKHI,,,English,Review,,,,,,silicon carbide; bulk crystal; sublimation; polytype; lateral overgrowth; dislocation; high-voltage power diode; high-voltage subnanosecond pulse diode; thyristor; bipolar junction transistor; analytic model; computer simulation; color center; spin; sensorics; magnetic field; ODMR; graphene; two-dimensional material; Raman spectroscopy,CURRENT-VOLTAGE CHARACTERISTICS; TURN-ON PROCESS; CARRIER LIFETIME MEASUREMENTS; BIPOLAR JUNCTION TRANSISTOR; SUBLIMATION SANDWICH METHOD; CRITICAL CHARGE-DENSITY; 4H-SIC SCHOTTKY DIODES; SILICON-CARBIDE; TEMPERATURE-DEPENDENCE; SWITCH-ON,We review the history and modern state of silicon carbide and SiC-based devices. The main techniques for growing bulk SiC crystals and epitaxial SiC films are discussed. Epitaxial SiC structures used for post-growth processing are briefly reviewed. The state of the art achieved in developing SiC devices is presented. The main problems that occur in developing SiC equipment and prospects for designing and developing such equipment are analyzed.,"[Lebedev, A. A.; Ivanov, P. A.; Levinshtein, M. E.; Mokhov, E. N.; Nagalyuk, S. S.; Anisimov, A. N.; Baranov, P. G.] Ioffe Inst, Ul Politekhnicheskaya 26, St Petersburg 194021, Russia",Russian Academy of Sciences; St. Petersburg Scientific Centre of the Russian Academy of Sciences; Ioffe Physical Technical Institute,"Lebedev, AA (corresponding author), Ioffe Inst, Ul Politekhnicheskaya 26, St Petersburg 194021, Russia.",shura.lebe@mail.ioffe.ru; pavel.baranov@mail.ioffe.ru,,,,,,,,7,8,12,87,TURPION LTD,BRISTOL,"C/O TURPION LTD, IOP PUBLISHING, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6HG, ENGLAND",,,,PHYS-USP+,Phys. Usp.,,2019,62,8,,,,,754,794,,10.3367/UFNr.2018.10.038437,0,,,41,"Physics, Multidisciplinary",,Physics,JZ1VI,,,,,2023-06-02,WOS:000504891900002,0,en
J,"Ng, IK; Kok, KY; Abidin, SSZ; Saidin, NU; Choo, TF; Goh, BT; Chong, SK; Rahman, SA",,,,"Ng, I. K.; Kok, K. Y.; Abidin, S. S. Zainal; Saidin, N. U.; Choo, T. F.; Goh, B. T.; Chong, S. K.; Rahman, S. Abdul",,,Gold catalysed growth of silicon nanowires and core-shell heterostructures via solid-liquid-solid process and galvanic displacement,MATERIALS RESEARCH INNOVATIONS,,,English,Article,,,,,,Silicon nanowires; Te-Si core-shell structures; Solid-liquid-solid; Galvanic displacement,,"Silicon nanowires (SiNWs) were first synthesised using Au coated p type Si (100) substrate via the solid-liquid-solid (SLS) process. The growth parameters were selectively varied to achieve various stages of growth for studying their effects on the morphology and microstructures of the nanowires (NWs). The SLS growth of SiNWs is discussed in the context of the experimental conditions used. Straight NWs of large aspect ratios, good crystallinity and morphology were generally obtained at a growth temperature of 1000 degrees C along with some worm-like amorphous structures. Te-Si NW core-shell structures were subsequently obtained via post-growth galvanic displacement of the SiNWs in an acidic HF electrolyte containing HTeO2+ ions. The core-shell structures obtained were decorated with Te nanoparticles. This increases the NW surface areas and should have great potential in non-reflecting, photovoltaic and thermoelectric applications. Growth study on the SiNWs and Te-Si core-shell structures is presented using various microscopy, diffraction and probe based techniques for structural, morphological and chemical characterisations.","[Ng, I. K.; Kok, K. Y.; Abidin, S. S. Zainal; Saidin, N. U.; Choo, T. F.] Agensi Nuklear Malaysia, Bangi 43000, Kajang, Malaysia; [Goh, B. T.; Chong, S. K.; Rahman, S. Abdul] Univ Malaya, Fac Sci, Kuala Lumpur 50603, Malaysia",Agensi Nuklear Malaysia; Universiti Malaya,"Ng, IK (corresponding author), Agensi Nuklear Malaysia, Bangi 43000, Kajang, Malaysia.",ikn1000@nuclearmalaysia.gov.my,,,,,,,,3,3,0,13,MANEY PUBLISHING,LEEDS,"STE 1C, JOSEPHS WELL, HANOVER WALK, LEEDS LS3 1AB, W YORKS, ENGLAND",,,,MATER RES INNOV,Mater. Res. Innov.,AUG,2011,15,,,2,,,55,58,,10.1179/143307511X13031890747732,0,,,4,"Materials Science, Multidisciplinary",,Materials Science,865EI,,,,,2023-06-02,WOS:000298293300014,0,en
J,"Vasilev, E; Petrovsky, V; Kozlov, A; Antonov, A; Kudryavtsev, A; Orekhova, K",,,,"Vasilev, Evgeny; Petrovsky, Vitaly; Kozlov, Alexander; Antonov, Anton; Kudryavtsev, Andrey; Orekhova, Ksenia",,,"The story of one diamond: the heterogeneous distribution of the optical centres within a diamond crystal from the Ichetju placer, northern Urals",MINERALOGICAL MAGAZINE,,,English,Article,,,,,,diamond; FTIR; luminescence; hydrogen; nitrogen,INFRARED-ABSORPTION; CARBON-ISOTOPE; PLATELET SIZE; DEFECTS; HYDROGEN; IMPURITY; PEAK,"We have investigated a diamond crystal that consists of several misorientated subgrains. The main feature of the crystal is the dark areas in the cathodoluminescent core that has 'estuary-like' boundaries extending along the subgrain interfaces. The core has >3100 ppm of nitrogen, and the share of the B form is >95%; the absorbance of the centre N3VH at 3107 cm(-1) reaches 75 cm(-1). The N3 centre absorbance, as well as N3 luminescence, is absent in the core. In the outer part of the crystal, bright blue luminescence of the N3 centre is apparent, and the N3 absorbance reaches 5.3 cm(-1). These observations could be explained by the conversion of N3 centres to N3VH after attaching a hydrogen atom. After the full conversion of the N3 centres, the diamond becomes darker under CL. We hypothesise the dark core has a specific shape due to the post-growth diffusion of the hydrogen.","[Vasilev, Evgeny; Kozlov, Alexander] St Petersburg Min Univ, St Petersburg, Russia; [Petrovsky, Vitaly] Russian Acad Sci, Ural Branch, Inst Geol, Komi Sci Ctr, Syktyvkar, Russia; [Antonov, Anton] AP Karpinsky Russian Geol Res Inst, St Petersburg, Russia; [Kudryavtsev, Andrey] TESCAN Ltd, St Petersburg, Russia; [Orekhova, Ksenia] Ioffe Inst, St Petersburg, Russia","Saint Petersburg Mining University; Institute of Geology, Komi Scientific Centre of the Russian Academy of Sciences; Russian Academy of Sciences; Komi Science Centre of the Ural Branch of the Russian Academy of Sciences; A.P. Karpinsky Russian Geological Research Institute (VSEGEI); Russian Academy of Sciences; St. Petersburg Scientific Centre of the Russian Academy of Sciences; Ioffe Physical Technical Institute","Vasilev, E (corresponding author), St Petersburg Min Univ, St Petersburg, Russia.",simphy12@mail.ru,,,Russian Science Foundation [19-17-00131],Russian Science Foundation(Russian Science Foundation (RSF)),This study has been partly funded by Russian Science Foundation grant 19-17-00131. The reviewers and Associate Editor Sergey Krivovichev are thanked for comments and editorial handling of the manuscript.,,,3,3,1,6,MINERALOGICAL SOC,TWICKENHAM,"12 BAYLIS MEWS, AMYAND PARK ROAD,, TWICKENHAM TW1 3HQ, MIDDLESEX, ENGLAND",,,,MINERAL MAG,Mineral. Mag.,AUG,2019,83,4,,,,,515,522,,10.1180/mgm.2019.32,0,,,8,Mineralogy,,Mineralogy,IU9JB,,,,,2023-06-02,WOS:000483896200004,0,en
J,"Francaviglia, L; Fontana, Y; Conesa-Boj, S; Tutuncuoglu, G; Duchene, L; Tanasescu, MB; Matteini, F; Morral, AFI",,,,"Francaviglia, Luca; Fontana, Yannik; Conesa-Boj, Sonia; Tuetuencueoglu, Goezde; Duchene, Leo; Tanasescu, Mihaela B.; Matteini, Federico; Fontcuberta i Morral, Anna",,,Quantum dots in the GaAs/AlxGa1-xAs core-shell nanowires: Statistical occurrence as a function of the shell thickness,APPLIED PHYSICS LETTERS,,,English,Article,,,,,,,SINGLE-PHOTON SOURCE; GAAS NANOWIRES; DEVICE; OPTICS; LASER,"Quantum dots (QDs) embedded in nanowires represent one of the most promising technologies for applications in quantum photonics. Self-assembled bottom-up fabrication is attractive to overcome the technological challenges involved in a top-down approach, but it needs post-growth investigations in order to understand the self-organization process. We investigate the QD formation by selfsegregation in AlxGa1-xAs shells as a function of thickness and cross-section morphology. By analysing light emission from several hundreds of emitters, we find that there is a certain thickness threshold for the observation of the QDs. The threshold becomes smaller if a thin AlAs layer is pre-deposited between the GaAs nanowire core and the AlxGa1-xAs shell. Our results evidence the development of the quantum emitters during the shell growth and provide more guidance for their use in quantum photonics. (C) 2015 AIP Publishing LLC.","[Francaviglia, Luca; Fontana, Yannik; Conesa-Boj, Sonia; Tuetuencueoglu, Goezde; Duchene, Leo; Tanasescu, Mihaela B.; Matteini, Federico; Fontcuberta i Morral, Anna] Ecole Polytech Fed Lausanne, Inst Mat, Lab Mat Semiconducteurs, CH-1015 Lausanne, Switzerland",Swiss Federal Institutes of Technology Domain; Ecole Polytechnique Federale de Lausanne,"Morral, AFI (corresponding author), Ecole Polytech Fed Lausanne, Inst Mat, Lab Mat Semiconducteurs, CH-1015 Lausanne, Switzerland.",anna.fontcuberta-morral@epfl.ch,,,SNF through the NCCR QSIT; DACH program [132506],SNF through the NCCR QSIT; DACH program,The authors thank financial support from SNF through the NCCR QSIT and the DACH program (Grant No. 132506).,,,14,14,0,29,AMER INST PHYSICS,MELVILLE,"1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA",,,,APPL PHYS LETT,Appl. Phys. Lett.,JUL 20,2015,107,3,,,,,,,33106,10.1063/1.4927315,0,,,4,"Physics, Applied",,Physics,CN8FR,,Green Published,,,2023-06-02,WOS:000358675600053,0,en
